3,2574,17476,53117,8097,15205,12527,11759,35637,14226,10734,1456,1216,4149,13144,4392,100399,1428,9135,2840,92,613,514,13009,389,96631,4772,76,2751,2711,1777,4419,6625,4814,5335,4432,33238,20100,16083,4705,5085,3125,48580,56675,3522,12488,773,7224,13619,3470,8698,456,30550,10880,10610,14655,55044,2211,1355,17288,11294,1544,7696,3027,1187,2230,4712,8597,1788,2577,5374,45311,7783,7790,4260,12824,1053,7129,1871,3647,18266,3287,12868,1191,7251,13224,5475,7878,6851,6804,10065,6673,2890,161
4,2837,19259,23624,8506,15456,14145,10224,21424,13509,8677,1063,920,3837,13447,3759,91726,1872,10965,3928,98,540,674,11320,517,88918,3123,69,2054,1962,3318,4476,7239,3941,7203,3240,25723,20840,15437,3821,5130,3095,51599,52557,3995,16386,999,4925,16270,4592,10357,391,24660,13598,13559,12926,52228,2165,1645,15152,13412,2109,9613,3263,1084,1782,5275,10533,1792,3748,5406,47682,8329,11935,3313,13589,1168,7960,2528,2841,23213,4029,12413,2043,10156,16245,4782,8551,7700,5799,13911,6686,3912,230
5,2848,19016,19569,7839,13811,13617,10510,18497,11423,8963,1358,1043,3785,12334,3904,87675,1640,10541,4418,88,650,609,12299,437,83679,2942,88,1882,2021,3888,4295,6182,3460,7651,3571,25960,20057,13854,3478,4166,3318,50584,50833,3844,14149,814,6585,16609,5427,10325,425,24946,12569,12155,11356,48423,2252,1600,16808,11837,1628,7726,2640,1011,2257,4071,9803,1819,3451,5648,44328,7695,9431,4626,12089,798,8187,2290,3179,22063,3658,13640,2042,8808,13439,5742,8236,7717,4875,10462,6671,4143,190
6,2095,18355,23936,6465,10289,11090,9472,20578,9199,7691,1287,1032,3571,11247,3366,71892,1397,9914,1820,75,424,479,11125,362,71858,2911,62,1802,1859,2396,4124,3878,2984,6077,3793,20536,17734,13748,2914,2626,2568,46087,42817,3632,13412,800,5434,14021,2697,8304,334,20258,9342,9584,9550,43368,1606,719,12682,9960,1072,8291,2461,779,1697,3850,8742,1422,2600,4972,40646,6570,7427,2403,10238,812,6466,1864,3002,20886,2455,10245,1397,5891,12731,5660,7680,6315,3301,9971,5616,2528,156
8,2090,15051,13630,5851,11717,11543,9572,9502,11442,8830,1011,896,3252,10179,3000,73585,1718,6946,3128,96,396,589,10771,417,71042,2520,61,1775,1663,2849,3766,5375,2739,5907,3198,20596,18683,12725,2740,3425,2395,46087,41460,3097,14466,1045,4808,14428,3700,9045,320,18410,10495,10955,8421,41164,1884,1253,12994,11081,2293,6868,2843,1267,1509,4871,9892,1525,3800,5067,37302,6350,7204,3625,10882,921,6762,2051,2733,19522,2873,10378,1353,6969,11522,3719,6677,6554,4403,10544,5296,1945,237
10,2157,14496,16343,5989,12650,10882,7453,16003,11516,7434,1202,971,3184,10235,3217,80553,1572,6664,3509,91,477,538,9962,392,79284,2034,70,1822,1870,2334,3372,6359,3584,5576,3570,22975,17590,14885,3464,5143,1891,48435,48121,3588,12689,794,4024,14422,4127,6728,383,22199,11745,9910,11630,44533,1765,998,13715,10495,1638,7400,3288,824,1291,4695,8456,1067,2820,5031,41935,6577,8169,2843,11404,894,7493,1599,2996,19592,2179,10285,1714,7762,11190,4564,5702,7467,4341,9741,6050,3075,226
14,2128,16818,27854,6196,12429,10690,8908,21740,9538,9141,1166,914,3300,9591,3055,67457,1606,8310,3557,69,393,717,10541,196,65545,2570,66,1777,1780,3016,3704,5275,3803,4275,3115,17136,17833,11144,3000,3306,2490,37474,39764,3376,13997,977,4454,12808,2954,8431,288,17306,10045,9301,11150,40544,1805,1274,10808,9853,2230,6431,3070,1215,983,5040,7059,1529,2957,4327,34306,6598,8583,2665,10465,1025,6146,1674,2696,17547,2157,9341,1635,6837,12392,3969,6785,6252,4013,9513,5192,2287,209
15,2713,15916,18547,7548,12569,13151,10292,18907,11077,8542,1195,998,3699,10699,3598,75799,1632,8344,3946,96,588,731,11768,339,72577,2218,84,1838,1866,2922,3809,5104,3178,4577,3382,19819,18132,12450,3105,3316,2550,43064,42966,3266,13368,1006,3259,13980,3724,7974,442,20098,11339,11323,11069,41470,1904,1566,13685,12036,2289,8032,2778,1007,1849,3192,8666,1854,3912,5500,38837,7498,8858,2750,11119,867,6928,1996,2865,20879,3132,11459,2006,6198,12423,3637,6050,6430,3589,10570,6401,3195,204
19,2592,16007,12891,7705,11521,12161,9727,10707,10190,7507,1224,1012,3920,10842,3907,74392,1555,7266,3475,87,427,636,10418,407,72784,2636,70,2029,2072,3200,3522,5056,3370,4924,3719,17874,18316,11419,3649,3707,2143,40116,42276,3340,12403,918,3261,12128,3865,7804,361,18865,9146,10393,9730,39979,2045,1210,12638,10645,2128,7281,3120,1178,1382,4160,8106,1565,3618,5300,36899,7363,6782,3127,10707,1030,7102,1825,3047,18103,2582,9519,1797,5937,12340,2966,5678,7018,3949,9575,6031,3350,265
29,3882,21094,27833,9188,18096,15826,11488,21931,14025,12275,1482,1198,4392,12989,4395,117920,2017,9629,3726,115,666,710,12320,487,109525,2298,95,2304,2519,4002,3142,5805,3979,6703,4568,26102,20719,11679,4021,3105,1982,59908,60101,4680,14581,1074,4846,15757,3732,10817,401,25657,13023,14442,13132,58667,2669,1317,14428,14706,1768,9380,3384,1163,1521,4337,8862,1698,4011,6670,57119,9046,10638,3276,13838,1036,5790,2595,3881,21647,3283,16002,2146,8802,15060,3760,6297,7963,4082,10336,8412,3220,281
